Metric,Overall,Information,Decision-Making,Translation
precision_llama_rag,0.8437591016292572,0.885632461309433,0.8336987435817719,0.8119460999965668
recall_llama_rag,0.8581547141075134,0.8738978624343872,0.8550288200378418,0.8455374598503113
f1_llama_rag,0.8506771961847941,0.879539942741394,0.8441857814788818,0.8283058643341065
precision_llama,0.845142251253128,0.8618441224098206,0.8424040675163269,0.8311785638332367
recall_llama,0.8515724539756775,0.8620600223541259,0.8568197250366211,0.8358376145362854
f1_llama,0.8482570827007294,0.861897873878479,0.8494502902030945,0.8334230840206146
precision_gpt_rag,0.8205956637859344,0.850025188922882,0.8112315177917481,0.8005302846431732
recall_gpt_rag,0.861667788028717,0.880494111776352,0.8510902404785157,0.8534190118312835
f1_gpt_rag,0.8405261675516764,0.8648904740810395,0.8306318283081054,0.8260562002658844
precision_gpt,0.8198941071828206,0.8515343487262725,0.8081431448459625,0.8000048279762269
recall_gpt,0.8555917501449585,0.8754022121429443,0.8489574909210205,0.8424155473709106
f1_gpt,0.8372487445672353,0.8632486820220947,0.827953714132309,0.8205438375473022
precision_deepseek_rag,0.8304973284403483,0.8701081335544586,0.8274043440818787,0.7939795076847076
recall_deepseek_rag,0.8632368584473927,0.8781460523605347,0.8563621938228607,0.8552023291587829
f1_deepseek_rag,0.8463063279787699,0.8740739345550537,0.8415814936161041,0.823263555765152
precision_deepseek,0.8295000572999318,0.8611841559410095,0.8207954287528991,0.8065205872058868
recall_deepseek,0.8558052957057953,0.8717621862888336,0.8499379694461823,0.84571573138237
f1_deepseek,0.8423139850298563,0.866354888677597,0.8350292384624481,0.8255578279495239
precision_claude_rag,0.8491777837276459,0.870677399635315,0.8375843822956085,0.8392715692520142
recall_claude_rag,0.8568260192871093,0.8725594699382782,0.8541200697422028,0.8437985181808472
f1_claude_rag,0.8528902331988016,0.8715637385845184,0.8457086682319641,0.8413982927799225
precision_claude,0.818676096200943,0.8543107211589813,0.8124016106128693,0.7893159568309784
recall_claude,0.8472258706887563,0.8682725310325623,0.8442116141319275,0.8291934669017792
f1_claude,0.8325991729895273,0.8611584424972534,0.827935415506363,0.8087036609649658
